city,course,batch_type,weekly_study_hours,attendance_pct,prev_exam_score,mock_test_3,income_bracket,feedback_text
Chennai,Biology,Evening,8.4,55.4,65.6,,,Could use more practice problems
Bangalore,Physics,Weekend,4.4,53.0,51.3,65.1,Medium,Materials were comprehensive
Chennai,Math,Morning,2.6,63.9,27.9,42.7,High,Materials were comprehensive
Chennai,Physics,Evening,0.7,44.7,73.8,64.8,Low,Excellent teaching style
Delhi,Math,Morning,3.6,64.1,55.1,53.4,Low,Need more visual aids
Bangalore,CS,Evening,5.8,58.7,28.9,34.5,Medium,Could use more practice problems
Delhi,Math,Evening,,64.7,79.6,52.0,Medium,Could use more practice problems
Delhi,Biology,Morning,36.9,68.5,59.0,44.3,Medium,
Mumbai,Biology,Evening,5.4,81.8,44.6,59.5,,Pace was too fast
Pune,CS,Weekend,3.7,51.1,93.0,53.0,Medium,Materials were comprehensive
Pune,CS,Morning,7.5,37.5,,37.8,Low,Excellent teaching style
Delhi,Chemistry,Evening,2.6,42.5,78.7,72.2,Low,Would recommend to others
Pune,Biology,Weekend,,71.1,39.4,62.2,Low,"Great course, learned a lot"
Bangalore,Physics,Weekend,6.7,75.0,51.3,,,Materials were comprehensive
Mumbai,Chemistry,Morning,13.0,20.0,,60.3,Medium,
Pune,CS,Evening,11.8,82.0,73.3,67.8,Low,Could use more practice problems
Pune,CS,Evening,7.3,76.2,64.3,52.7,,
Mumbai,Physics,Weekend,2.1,23.0,,47.4,Medium,"Great course, learned a lot"
Chennai,Chemistry,Evening,1.4,20.0,,48.6,Low,Would recommend to others
Delhi,Chemistry,Morning,,69.8,80.7,58.1,,Instructor was very helpful
Bangalore,Biology,Evening,5.7,37.6,,39.6,Medium,Pace was too fast
Mumbai,CS,Evening,7.4,64.4,58.6,59.9,Medium,
Delhi,Math,Morning,1.3,83.5,85.9,44.0,,Could use more practice problems
Delhi,Math,Evening,11.8,78.9,56.1,56.2,Medium,Materials were comprehensive
Bangalore,Physics,Evening,8.9,84.1,80.5,31.7,,Would recommend to others
Delhi,CS,Evening,11.3,79.4,68.5,54.4,High,Instructor was very helpful
Pune,CS,Weekend,1.7,82.2,47.9,60.1,Low,Could use more practice problems
Pune,Biology,Weekend,1.2,34.7,,49.2,,Need more visual aids
Pune,Chemistry,Morning,2.9,63.7,100.0,36.4,Medium,Materials were comprehensive
Pune,Math,Morning,13.8,94.6,63.2,61.4,Medium,
Delhi,Chemistry,Morning,7.1,56.5,71.1,52.3,High,Pace was too fast
Bangalore,Math,Evening,7.1,20.0,,86.6,Medium,
Mumbai,Chemistry,Morning,4.6,65.2,78.0,56.7,Medium,
Mumbai,Biology,Morning,1.3,87.5,56.7,52.8,Low,Would recommend to others
Bangalore,Math,Weekend,3.1,69.2,62.5,57.0,High,Need more visual aids
Delhi,Chemistry,Evening,16.0,49.6,77.1,37.6,Medium,Materials were comprehensive
Bangalore,Physics,Weekend,1.2,60.9,72.3,46.9,Medium,Instructor was very helpful
Bangalore,Physics,Weekend,5.6,38.5,,43.2,Medium,"Great course, learned a lot"
Bangalore,Chemistry,Weekend,13.0,74.2,67.3,65.2,Low,Instructor was very helpful
Chennai,CS,Morning,1.4,38.0,,65.5,High,"Great course, learned a lot"
Pune,Biology,Morning,5.9,59.5,84.6,59.7,Medium,Pace was too fast
Pune,CS,Weekend,24.0,97.3,64.2,83.3,Low,Materials were comprehensive
Bangalore,Biology,Evening,3.4,46.6,71.4,,,Materials were comprehensive
Chennai,Biology,Weekend,3.3,37.6,,74.6,Low,Instructor was very helpful
Delhi,Physics,Weekend,7.6,33.9,,,Low,Need more visual aids
Delhi,CS,Morning,,97.1,45.1,68.5,,Excellent teaching style
Pune,CS,Evening,6.5,20.0,,52.1,Low,Instructor was very helpful
Delhi,Chemistry,Evening,28.0,49.1,58.9,42.0,Medium,Materials were comprehensive
Bangalore,Math,Morning,8.4,93.7,66.9,30.6,Medium,Could use more practice problems
Mumbai,Chemistry,Evening,4.1,69.6,52.3,58.9,Medium,"Great course, learned a lot"
Mumbai,Physics,Morning,0.6,89.6,39.7,37.1,High,Instructor was very helpful
Chennai,Math,Evening,0.3,69.9,28.2,,Medium,Need more visual aids
Bangalore,Math,Weekend,17.5,69.3,83.0,79.5,Low,Materials were comprehensive
Chennai,Chemistry,Weekend,3.5,35.2,,79.2,Medium,Instructor was very helpful
Pune,Biology,Weekend,3.4,50.9,57.4,57.8,Medium,Need more visual aids
Bangalore,Math,Evening,14.2,46.3,86.5,72.3,High,Instructor was very helpful
Delhi,Physics,Weekend,15.5,59.9,51.7,,Medium,Instructor was very helpful
Chennai,Physics,Weekend,0.1,20.0,,57.8,Medium,Pace was too fast
Delhi,CS,Weekend,22.0,66.2,66.9,40.2,Medium,Would recommend to others
Bangalore,Chemistry,Weekend,4.7,20.6,,32.5,Low,Materials were comprehensive
Delhi,Biology,Weekend,1.0,71.0,68.4,81.0,Medium,Could use more practice problems
Delhi,Math,Weekend,16.7,45.0,82.1,90.2,Low,Need more visual aids
Delhi,Biology,Weekend,10.7,29.0,,37.4,Medium,Would recommend to others
Pune,Chemistry,Evening,0.3,72.6,55.0,68.7,Medium,Need more visual aids
Delhi,CS,Weekend,23.7,50.4,68.9,43.0,Medium,Materials were comprehensive
Delhi,CS,Weekend,0.5,80.5,75.0,35.5,Low,Would recommend to others
Chennai,Math,Morning,4.1,37.3,,61.9,Low,Instructor was very helpful
Delhi,Biology,Morning,5.5,75.7,68.1,,High,"Great course, learned a lot"
Pune,Math,Evening,7.2,20.0,,76.9,Low,
Pune,CS,Morning,10.5,58.6,68.8,46.6,Low,Would recommend to others
Bangalore,CS,Evening,7.7,71.9,82.1,59.4,Low,Materials were comprehensive
Chennai,Chemistry,Weekend,2.4,88.4,58.8,74.4,Low,Materials were comprehensive
Delhi,Physics,Evening,5.5,47.2,52.8,52.2,Medium,Need more visual aids
Bangalore,Biology,Weekend,11.7,55.1,62.7,72.9,Medium,Need more visual aids
Bangalore,Biology,Evening,1.1,65.8,70.4,62.7,Low,Could use more practice problems
Chennai,CS,Weekend,14.2,52.9,50.5,,Medium,
Chennai,Physics,Morning,6.4,53.8,26.4,76.6,Medium,Materials were comprehensive
Bangalore,CS,Evening,4.2,63.0,72.8,47.7,Medium,Pace was too fast
Pune,Chemistry,Morning,7.6,86.1,55.6,83.5,Low,Would recommend to others
Pune,Physics,Weekend,0.2,61.9,79.0,40.5,Medium,Would recommend to others
Mumbai,Math,Weekend,7.7,71.4,67.2,73.8,Medium,Materials were comprehensive
Chennai,Physics,Evening,3.2,80.8,60.3,73.1,Low,Materials were comprehensive
Pune,Physics,Evening,23.5,54.1,83.1,,High,Pace was too fast
Mumbai,Math,Morning,1.6,62.2,59.2,42.7,High,Excellent teaching style
Pune,Chemistry,Weekend,9.8,65.3,92.5,33.7,Medium,Need more visual aids
Delhi,Math,Weekend,,20.0,,58.0,High,Instructor was very helpful
Pune,Biology,Morning,7.2,43.2,72.7,48.6,Medium,Pace was too fast
Bangalore,Physics,Morning,10.8,82.5,63.6,78.6,Low,Need more visual aids
Chennai,Biology,Weekend,0.8,20.0,,65.3,Low,Instructor was very helpful
Pune,Math,Morning,16.0,72.0,80.9,99.2,Low,Would recommend to others
Pune,Physics,Evening,20.4,93.2,49.5,,Low,Would recommend to others
Bangalore,Physics,Evening,13.2,51.3,71.5,68.0,High,Instructor was very helpful
Mumbai,Chemistry,Evening,2.2,37.6,,87.0,Medium,Need more visual aids
Pune,Math,Morning,12.3,56.8,75.6,81.8,Low,"Great course, learned a lot"
Mumbai,Chemistry,Morning,0.0,56.9,60.9,60.8,Medium,
Bangalore,Chemistry,Evening,,52.2,89.3,49.1,Medium,Pace was too fast
Chennai,CS,Morning,27.2,20.0,,64.0,Low,Pace was too fast
Chennai,Physics,Evening,1.6,38.8,,61.3,Medium,Instructor was very helpful
Chennai,CS,Evening,3.3,74.5,34.5,62.5,Medium,Instructor was very helpful
Pune,CS,Morning,4.0,56.2,63.9,44.2,Low,
Bangalore,CS,Weekend,6.4,86.1,46.9,71.4,Medium,Excellent teaching style
Chennai,Physics,Morning,,20.0,,83.1,Medium,
Delhi,Physics,Morning,0.1,32.2,,96.4,Low,Need more visual aids
Bangalore,Chemistry,Weekend,3.2,77.8,77.2,33.1,High,Would recommend to others
Mumbai,Math,Morning,10.0,86.0,68.9,57.3,High,Materials were comprehensive
Pune,CS,Weekend,3.2,72.3,67.1,33.6,Medium,Need more visual aids
Delhi,Physics,Morning,2.2,81.5,63.4,50.3,Medium,Excellent teaching style
Pune,Math,Evening,0.4,40.6,65.9,64.9,Low,Would recommend to others
Delhi,Biology,Evening,1.0,20.0,,,Medium,Materials were comprehensive
Pune,CS,Evening,6.5,20.0,,49.9,Medium,Excellent teaching style
Mumbai,CS,Weekend,11.0,41.7,55.1,44.3,Medium,Need more visual aids
Delhi,Physics,Morning,2.5,88.7,73.8,53.9,Medium,Excellent teaching style
Bangalore,Math,Evening,7.0,91.8,46.5,38.5,Medium,Need more visual aids
Chennai,Chemistry,Morning,3.9,53.9,62.2,52.3,Medium,Materials were comprehensive
Mumbai,Biology,Morning,12.9,59.7,55.2,74.5,Low,Need more visual aids
Pune,Math,Morning,5.1,20.0,,40.9,Low,"Great course, learned a lot"
Chennai,Chemistry,Weekend,16.7,82.9,51.6,96.1,High,Could use more practice problems
Mumbai,Physics,Weekend,5.5,36.6,,56.1,High,Would recommend to others
Delhi,Biology,Weekend,0.7,83.6,40.6,45.5,Medium,Materials were comprehensive
Delhi,Chemistry,Morning,6.6,59.2,54.7,61.1,Low,Pace was too fast
Bangalore,Physics,Morning,1.7,95.1,67.7,59.6,High,Materials were comprehensive
Bangalore,CS,Weekend,7.8,96.7,55.2,56.5,Low,Instructor was very helpful
Delhi,Physics,Evening,1.7,20.5,,64.2,Low,Pace was too fast
Delhi,Biology,Weekend,14.5,20.9,,48.3,Low,
Chennai,Math,Weekend,4.6,48.2,59.4,47.3,Medium,Excellent teaching style
Pune,CS,Evening,8.2,20.0,,48.4,Low,
Mumbai,Math,Morning,5.9,84.7,85.0,,Medium,Would recommend to others
Pune,Chemistry,Weekend,2.7,65.6,78.1,36.6,High,Could use more practice problems
Delhi,Biology,Weekend,13.7,39.2,,,High,Instructor was very helpful
Pune,CS,Evening,0.4,76.8,80.0,94.8,Medium,Need more visual aids
Mumbai,Biology,Weekend,6.3,81.7,52.1,92.0,Medium,Instructor was very helpful
Chennai,Biology,Morning,1.5,48.9,57.4,32.6,Low,Instructor was very helpful
Pune,Physics,Evening,0.8,35.0,,50.8,High,Need more visual aids
Mumbai,CS,Evening,6.9,57.8,90.0,66.2,Medium,Could use more practice problems
Delhi,CS,Morning,4.1,53.1,69.7,31.5,,"Great course, learned a lot"
Chennai,Chemistry,Weekend,5.0,94.0,70.5,37.1,High,Excellent teaching style
Chennai,Biology,Morning,1.5,92.6,60.8,33.0,Medium,Excellent teaching style
Mumbai,CS,Evening,0.2,45.4,59.9,52.5,Medium,Would recommend to others
Pune,Biology,Evening,4.3,71.2,70.5,57.4,High,Need more visual aids
Pune,Chemistry,Evening,4.3,24.6,,36.6,Low,Could use more practice problems
Pune,Biology,Evening,9.7,69.1,65.4,46.1,Low,Pace was too fast
Delhi,CS,Weekend,8.2,46.2,64.2,68.6,High,Excellent teaching style
Mumbai,Biology,Morning,3.9,76.1,88.7,51.6,Medium,Need more visual aids
Bangalore,Biology,Evening,8.4,44.7,77.1,,High,Would recommend to others
Mumbai,Math,Morning,7.8,77.2,85.5,77.5,Low,Instructor was very helpful
Mumbai,CS,Weekend,16.6,71.2,86.6,54.3,High,Materials were comprehensive
Chennai,Biology,Weekend,4.8,53.9,74.2,95.7,,Materials were comprehensive
Delhi,Math,Weekend,2.7,20.0,,53.1,Medium,Pace was too fast
Chennai,CS,Morning,12.1,47.9,43.0,62.0,Medium,Would recommend to others
Mumbai,Biology,Evening,2.0,78.2,70.5,,Medium,Materials were comprehensive
Bangalore,Physics,Evening,18.9,75.1,70.9,32.9,Low,Pace was too fast
Chennai,Biology,Evening,0.1,44.1,76.1,44.8,Medium,Materials were comprehensive
Pune,Biology,Morning,0.0,71.7,100.0,66.6,,Need more visual aids
Delhi,Math,Morning,0.7,58.8,58.0,80.9,Low,
Chennai,CS,Evening,3.6,56.5,46.1,39.3,Medium,Would recommend to others
Mumbai,Math,Morning,0.4,91.7,78.5,51.9,Medium,Would recommend to others
Chennai,Physics,Weekend,23.2,84.7,72.8,67.1,High,Would recommend to others
Chennai,Biology,Weekend,7.5,87.4,74.7,,High,Would recommend to others
Chennai,Physics,Morning,0.2,71.5,51.1,65.0,Low,Would recommend to others
Bangalore,CS,Evening,19.7,70.2,82.5,39.7,Medium,
Mumbai,CS,Morning,8.8,91.5,64.1,,Low,Excellent teaching style
Mumbai,Physics,Evening,14.4,62.3,47.5,78.2,High,Instructor was very helpful
Delhi,CS,Weekend,11.5,39.5,,,Medium,Excellent teaching style
Bangalore,Physics,Morning,3.5,74.0,74.8,43.7,High,
Mumbai,CS,Evening,6.2,76.6,54.9,35.2,High,Need more visual aids
Chennai,Chemistry,Evening,6.3,74.5,64.3,86.6,Medium,Need more visual aids
Bangalore,Biology,Morning,2.3,25.6,,30.7,High,Excellent teaching style
Pune,Chemistry,Evening,0.2,55.8,71.1,67.5,Medium,Could use more practice problems
Delhi,Physics,Evening,3.4,74.4,52.8,58.0,Medium,Would recommend to others
Mumbai,Chemistry,Weekend,1.1,41.9,88.2,39.7,Medium,Need more visual aids
Delhi,CS,Evening,,57.3,65.3,,Low,Would recommend to others
Pune,CS,Weekend,0.9,31.3,,52.6,Low,Could use more practice problems
Bangalore,Math,Evening,15.3,84.5,45.9,33.3,Low,
Bangalore,Biology,Morning,3.3,42.8,71.5,74.5,,Pace was too fast
Bangalore,CS,Evening,2.4,34.2,,78.2,Medium,"Great course, learned a lot"
Delhi,Biology,Evening,29.8,60.9,95.0,,Low,Could use more practice problems
Delhi,Chemistry,Evening,3.6,83.0,38.7,89.2,,Excellent teaching style
Pune,Physics,Morning,2.4,51.4,55.6,74.3,Medium,Instructor was very helpful
Chennai,Physics,Weekend,1.6,20.0,,78.7,Medium,Could use more practice problems
Bangalore,Physics,Weekend,2.8,84.0,54.5,69.3,Medium,Materials were comprehensive
Chennai,Biology,Weekend,10.5,48.2,57.7,70.6,Medium,Could use more practice problems
Bangalore,Chemistry,Evening,,46.7,54.7,57.8,Medium,Could use more practice problems
Chennai,Chemistry,Weekend,5.6,54.0,60.4,62.3,Low,Would recommend to others
Bangalore,CS,Evening,4.4,20.0,,91.2,Low,Need more visual aids
Bangalore,CS,Evening,15.2,44.6,63.1,70.9,Low,Excellent teaching style
Delhi,Biology,Morning,4.1,65.9,33.6,58.7,High,"Great course, learned a lot"
Delhi,CS,Evening,3.6,88.2,53.4,91.6,Low,
Mumbai,Biology,Evening,9.5,57.0,66.7,76.8,Medium,Materials were comprehensive
Pune,Chemistry,Evening,23.9,61.6,54.4,77.0,Medium,Pace was too fast
Chennai,Biology,Evening,23.8,67.4,66.2,54.8,Medium,Excellent teaching style
Delhi,Biology,Weekend,1.5,47.5,68.0,,Low,Pace was too fast
Mumbai,Chemistry,Evening,5.6,74.0,46.5,40.9,Low,Materials were comprehensive
Mumbai,Chemistry,Evening,3.9,31.3,,69.8,Medium,
Chennai,Chemistry,Weekend,,85.7,83.0,45.9,Medium,
Delhi,Biology,Morning,1.0,73.3,65.8,74.3,High,Instructor was very helpful
Mumbai,CS,Morning,7.3,85.0,66.9,51.6,Low,Excellent teaching style
Mumbai,Biology,Weekend,7.5,60.0,56.1,71.5,Medium,Would recommend to others
Delhi,Chemistry,Evening,0.4,69.0,56.1,55.0,Low,
Delhi,Biology,Weekend,20.5,49.3,73.0,90.3,Medium,Need more visual aids
Mumbai,Biology,Weekend,5.8,57.6,95.4,32.9,Low,Need more visual aids
Pune,Biology,Evening,0.6,68.8,50.6,63.8,Medium,"Great course, learned a lot"
Pune,Physics,Evening,1.2,70.9,83.9,51.4,Medium,Materials were comprehensive
Delhi,Chemistry,Weekend,,94.4,85.2,39.3,Low,Instructor was very helpful
Mumbai,CS,Weekend,3.0,65.4,63.3,57.2,Medium,Instructor was very helpful
Mumbai,Physics,Evening,5.0,21.0,,60.3,High,Instructor was very helpful
Bangalore,Chemistry,Weekend,3.2,70.3,87.0,68.4,High,Would recommend to others
Chennai,CS,Weekend,9.5,30.3,,45.2,High,Need more visual aids
Bangalore,Chemistry,Weekend,23.5,48.7,65.5,40.5,Medium,Excellent teaching style
Bangalore,CS,Morning,8.8,35.1,,77.5,Low,Would recommend to others
Chennai,Biology,Morning,11.1,72.4,89.0,36.1,Low,Would recommend to others
Mumbai,CS,Weekend,2.6,51.9,62.0,64.8,Low,Pace was too fast
Bangalore,Chemistry,Weekend,1.3,20.0,,30.3,Medium,Would recommend to others
Chennai,Physics,Morning,2.8,52.4,51.5,48.1,Low,Instructor was very helpful
Mumbai,Physics,Morning,18.0,48.8,11.3,43.5,Low,Instructor was very helpful
Chennai,Chemistry,Weekend,1.4,52.0,66.4,,Low,Would recommend to others
Bangalore,Math,Morning,13.5,51.6,46.7,,Medium,
Delhi,Math,Weekend,3.8,20.0,,96.8,High,Pace was too fast
Bangalore,Biology,Evening,4.5,54.3,39.2,47.3,Low,Pace was too fast
Chennai,Math,Weekend,9.6,54.0,88.3,95.1,Low,"Great course, learned a lot"
Delhi,Biology,Morning,7.1,24.5,,87.0,Medium,Could use more practice problems
Pune,Math,Morning,15.8,72.1,37.0,60.7,Low,Could use more practice problems
Chennai,CS,Evening,9.5,49.4,57.9,32.6,Low,Would recommend to others
Mumbai,Physics,Evening,1.0,84.3,82.4,61.6,Medium,Instructor was very helpful
Chennai,Math,Evening,18.0,47.9,61.7,36.8,Medium,Pace was too fast
Mumbai,CS,Evening,9.5,66.3,64.6,60.8,Low,Could use more practice problems
Bangalore,Biology,Morning,4.9,61.3,51.5,67.2,Medium,Materials were comprehensive
Bangalore,Biology,Morning,17.8,81.5,40.9,,,Could use more practice problems
Mumbai,Biology,Evening,1.9,58.3,62.2,45.2,Medium,Instructor was very helpful
Chennai,Biology,Evening,2.8,71.3,46.3,57.5,Medium,Pace was too fast
Mumbai,Chemistry,Morning,14.8,87.3,72.3,69.1,Medium,
Delhi,Physics,Morning,9.9,56.7,81.4,63.4,Low,Instructor was very helpful
Pune,Biology,Weekend,,79.3,94.2,63.0,Medium,Excellent teaching style
Mumbai,Physics,Weekend,0.7,54.4,37.6,40.7,Medium,Excellent teaching style
Chennai,Math,Evening,7.8,77.9,80.5,50.0,Low,
Bangalore,Chemistry,Evening,3.4,71.4,76.4,64.3,Medium,Could use more practice problems
Delhi,Physics,Evening,1.1,72.0,65.9,,Medium,Materials were comprehensive
Bangalore,Biology,Weekend,6.7,39.8,,70.8,Low,Pace was too fast
Mumbai,Chemistry,Weekend,1.6,33.0,,58.3,Low,Need more visual aids
Bangalore,CS,Evening,0.2,68.2,50.6,57.9,Low,
Bangalore,Physics,Evening,9.4,89.1,69.2,56.5,High,Pace was too fast
Bangalore,Math,Evening,,47.5,73.7,45.2,High,
Pune,Physics,Weekend,6.9,88.5,53.7,100.0,Medium,
Mumbai,Physics,Morning,0.7,61.2,58.0,,Low,Instructor was very helpful
Chennai,Biology,Morning,4.0,30.0,,47.2,,Excellent teaching style
Bangalore,CS,Evening,7.3,77.6,57.4,86.4,High,Excellent teaching style
Chennai,CS,Weekend,1.2,71.1,54.2,63.8,Medium,Excellent teaching style
Mumbai,Biology,Evening,21.5,58.2,67.5,,Medium,
Delhi,CS,Evening,6.1,37.2,,100.0,Low,Pace was too fast
Delhi,CS,Weekend,26.2,49.5,50.5,61.3,,Materials were comprehensive
Bangalore,Math,Weekend,4.9,39.6,,,High,
Mumbai,CS,Weekend,2.0,95.6,70.7,41.5,Low,Need more visual aids
Pune,Physics,Evening,2.5,35.5,,62.9,High,
Bangalore,Math,Morning,3.5,62.0,67.3,74.2,Low,Excellent teaching style
Bangalore,Math,Morning,16.1,29.4,,,Low,Materials were comprehensive
Bangalore,CS,Evening,2.2,39.8,,47.4,Medium,Excellent teaching style
Delhi,Biology,Morning,7.5,67.9,68.3,52.8,Medium,Pace was too fast
Bangalore,Biology,Weekend,0.7,65.9,74.2,90.4,High,"Great course, learned a lot"
Bangalore,Chemistry,Evening,4.8,77.3,77.8,59.2,Low,Instructor was very helpful
Mumbai,Physics,Morning,,75.7,52.6,,Medium,Would recommend to others
Mumbai,Math,Evening,10.2,93.0,83.4,48.8,,Need more visual aids
Delhi,Physics,Weekend,7.3,42.6,59.6,55.0,Medium,Materials were comprehensive
Mumbai,Biology,Evening,0.4,49.2,74.5,41.5,Low,"Great course, learned a lot"
Chennai,CS,Morning,1.3,75.9,72.8,51.2,Low,Pace was too fast
Chennai,CS,Weekend,1.5,32.4,,41.4,Medium,Could use more practice problems
Pune,Physics,Morning,4.6,76.1,55.0,,Medium,
Bangalore,CS,Morning,18.2,62.8,72.4,46.7,Low,Need more visual aids
Bangalore,Chemistry,Evening,13.4,21.2,,43.1,Medium,Need more visual aids
Bangalore,Biology,Evening,31.3,46.6,85.2,70.8,Low,
Mumbai,Math,Morning,13.3,53.5,64.2,,Low,"Great course, learned a lot"
Bangalore,Biology,Evening,3.8,58.1,70.9,60.5,High,
Chennai,Biology,Evening,,62.3,68.0,69.3,Low,Instructor was very helpful
Chennai,Biology,Weekend,,65.9,71.0,59.8,,Pace was too fast
Delhi,Biology,Morning,8.6,51.4,57.2,60.5,Medium,Could use more practice problems
Bangalore,Chemistry,Morning,1.8,53.4,47.3,57.2,Medium,Instructor was very helpful
Chennai,Physics,Evening,8.4,51.6,62.4,81.4,Medium,Need more visual aids
Pune,CS,Weekend,1.0,61.9,94.6,91.0,Medium,Instructor was very helpful
Delhi,Physics,Evening,0.4,50.5,58.1,38.9,Medium,"Great course, learned a lot"
Chennai,CS,Weekend,6.2,37.8,,34.3,Medium,Need more visual aids
Delhi,Biology,Weekend,0.3,73.9,36.4,64.6,High,Would recommend to others
Chennai,Math,Weekend,10.2,22.0,,33.3,Low,Need more visual aids
Bangalore,Biology,Morning,,55.2,72.1,90.8,High,Could use more practice problems
Delhi,Math,Evening,1.5,38.7,,100.0,High,Pace was too fast
Mumbai,Math,Evening,18.5,39.3,,65.1,Medium,Need more visual aids
Mumbai,Biology,Morning,7.2,57.0,59.9,81.6,Medium,Could use more practice problems
Mumbai,Math,Evening,3.3,56.5,58.3,63.0,Medium,Need more visual aids
Chennai,Math,Weekend,1.2,45.7,60.1,31.6,Medium,Pace was too fast
Delhi,Math,Morning,0.7,82.6,70.9,47.4,Low,Excellent teaching style
Chennai,Math,Morning,0.6,60.8,55.7,43.7,Medium,"Great course, learned a lot"
Pune,Physics,Morning,2.3,48.4,71.4,100.0,Medium,Pace was too fast
Chennai,Chemistry,Weekend,3.8,88.9,87.5,47.1,Low,Instructor was very helpful
Pune,Chemistry,Evening,4.2,51.2,56.2,94.0,Low,Materials were comprehensive
Pune,Math,Weekend,3.1,40.0,74.2,55.4,Medium,Materials were comprehensive
Bangalore,CS,Weekend,,89.7,56.7,64.1,Low,Need more visual aids
Mumbai,Physics,Morning,8.3,63.1,50.3,41.2,Medium,Would recommend to others
Delhi,Math,Weekend,45.6,89.0,64.0,50.7,Medium,Could use more practice problems
Pune,CS,Evening,6.5,71.8,51.6,52.6,Low,Excellent teaching style
Mumbai,Math,Morning,3.1,40.6,86.1,90.4,Low,Need more visual aids
Delhi,Math,Evening,5.7,45.3,65.3,42.6,Low,Excellent teaching style
Bangalore,Physics,Morning,4.5,47.6,65.1,76.1,Medium,Would recommend to others
Chennai,CS,Weekend,3.3,38.7,,67.0,Low,Excellent teaching style
Delhi,CS,Morning,12.5,22.7,,86.4,Medium,Pace was too fast
Delhi,Physics,Weekend,6.4,79.4,31.3,34.3,Low,Would recommend to others
Bangalore,Biology,Weekend,7.0,70.8,60.5,46.4,Medium,Would recommend to others
Bangalore,Math,Evening,1.0,43.0,76.9,,Low,
Chennai,Math,Evening,6.9,35.5,,55.6,Medium,Could use more practice problems
